number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc
73,0.11359283116941775,2026-03-13 04:30:07.324097,2026-03-13 05:02:56.471490,0 days 00:32:49.147393,32,4,0.0,0.006025436382462075,15,meta,64,128,5,0.126206610862196,0.1,0.06998819632091857,0.00044389749633361083,0.4,7,20,BiLSTM,6,1,corn,15,2.498804153432945,0.7343814178386143,15,0.8695811678754468,0.2179617557826435,31,0.00014322570541156577,0.5308823529411765,0.11562250164139702,0.11359283116941775,0.19191176470588237,COMPLETE,0.11562250164139702,0.19191176470588237,0.5308823529411765,0.11359283116941775
76,0.11355592484832372,2026-03-13 06:31:42.373514,2026-03-13 07:01:23.657767,0 days 00:29:41.284253,32,2,0.30000000000000004,0.006721293641584332,10,meta,128,128,5,0.10683416749612434,0.30000000000000004,0.01911609592011672,0.0004277547943266957,0.4,7,30,LSTM,6,1,corn,20,3.268872762183786,1.003334304741977,21,0.8808830098244065,0.3508060902793784,41,1.738062453582415e-05,0.5229779411764706,0.11159603473585547,0.11355592484832372,0.19963235294117648,COMPLETE,0.11159603473585547,0.19963235294117648,0.5229779411764706,0.11355592484832372
68,0.11318200953400859,2026-03-13 00:51:58.300215,2026-03-13 01:36:38.390012,0 days 00:44:40.089797,32,4,0.0,0.0068599221894523514,20,meta,128,128,5,0.23261210166424606,0.4,0.07394667589878129,0.0008618222681500643,0.8,5,50,LSTM,6,1,corn,20,2.8971006236167565,0.8015390841821158,21,0.8889186480242337,0.1523653957288333,31,4.1324429593270676e-07,0.5174632352941176,0.11017802681557452,0.11318200953400859,0.19356617647058824,COMPLETE,0.11017802681557452,0.19356617647058824,0.5174632352941176,0.11318200953400859
6,0.11293408212354256,2026-03-11 18:52:09.375064,2026-03-11 19:34:02.932089,0 days 00:41:53.557025,128,2,0.30000000000000004,0.009455245107858454,20,meta,128,64,5,0.5069484521849779,0.2,0.010592659783496258,0.004877985884942742,0.8,5,50,BiLSTM,6,1,corn,10,2.5336310518746505,0.7122247141355342,21,0.8816824055500353,0.1844936660998372,41,1.6559425750596701e-06,0.528125,0.11317214747494768,0.11293408212354256,0.20716911764705884,COMPLETE,0.11317214747494768,0.20716911764705884,0.528125,0.11293408212354256
93,0.1126506592653095,2026-03-13 18:18:28.810922,2026-03-13 18:50:38.873552,0 days 00:32:10.062630,32,4,0.1,0.007086486759304076,20,meta,128,32,5,1.1451023540922545,0.30000000000000004,0.05312524279441793,0.002465110482210506,0.8,7,30,BiLSTM,6,1,corn,15,3.455717186364374,0.6883379707397227,21,0.8083473209383284,0.16646245160766077,21,1.2782335861379276e-06,0.5181985294117647,0.11729817161574861,0.1126506592653095,0.20404411764705882,COMPLETE,0.11729817161574861,0.20404411764705882,0.5181985294117647,0.1126506592653095
62,0.1123679821983443,2026-03-12 21:21:50.643773,2026-03-12 21:35:50.422208,0 days 00:13:59.778435,32,2,0.0,0.005049630750945127,15,meta,64,64,5,1.453984712987911,0.2,0.010151364856919608,0.0009398204283785339,0.8,5,30,BiGRU,6,1,coral,20,2.5607827396610032,1.0925924399554678,9,0.8314232592079739,0.21463670108338376,31,4.307849511718986e-07,0.5215073529411764,0.12595197634063868,0.1123679821983443,0.22738970588235294,COMPLETE,0.12595197634063868,0.22738970588235294,0.5215073529411764,0.1123679821983443
38,0.11231367694124827,2026-03-12 08:47:21.645837,2026-03-12 09:12:38.272114,0 days 00:25:16.626277,32,2,0.0,0.002312507969366294,20,meta,64,32,5,0.5790756019366256,0.30000000000000004,0.034707425350621525,0.0020911963297652273,0.4,5,30,GRU,6,2,corn,20,2.505244489204059,1.1038790300760242,21,0.8482969063290742,0.3061264733409556,31,2.9937436601228988e-06,0.5154411764705882,0.11673110553879361,0.11231367694124827,0.20680147058823528,COMPLETE,0.11673110553879361,0.20680147058823528,0.5154411764705882,0.11231367694124827
55,0.11211650066871796,2026-03-12 15:47:59.480791,2026-03-12 16:07:53.046923,0 days 00:19:53.566132,32,2,0.2,0.007144046999064788,20,meta,128,64,5,0.4105017463838898,0.30000000000000004,0.052830502526519885,0.0008907974447862543,0.8,7,50,BiLSTM,6,2,corn,10,3.007092147003614,1.127960362651433,21,0.7892128134961223,0.123216975241255,21,3.888026491101041e-06,0.5163602941176471,0.10840817001347684,0.11211650066871796,0.20220588235294118,COMPLETE,0.10840817001347684,0.20220588235294118,0.5163602941176471,0.11211650066871796
14,0.11132463995411225,2026-03-11 23:23:05.479946,2026-03-11 23:51:48.590254,0 days 00:28:43.110308,32,2,0.4,0.007573087307028407,20,meta,256,64,5,0.12071635783251555,0.2,0.03687822771596155,0.0004351002939053439,0.8,10,30,BiLSTM,6,2,coral,15,3.409653482851173,0.933440369692852,21,0.8411318881956653,0.238487282017927,21,2.111954579438363e-05,0.5185661764705882,0.11416704605428712,0.11132463995411225,0.2235294117647059,COMPLETE,0.11416704605428712,0.2235294117647059,0.5185661764705882,0.11132463995411225
83,0.11075884753560018,2026-03-13 11:46:45.859758,2026-03-13 12:33:07.448733,0 days 00:46:21.588975,32,6,0.1,0.008485063445087641,10,meta,64,128,5,0.26238282984515965,0.30000000000000004,0.03449433726653283,0.0029374817279990543,0.4,10,20,LSTM,6,1,corn,5,2.984907280100154,1.1529298280559666,15,0.8268008754070054,0.13162114150940718,31,0.00031459403324334153,0.5189338235294118,0.11966318584508044,0.11075884753560018,0.20808823529411766,COMPLETE,0.11966318584508044,0.20808823529411766,0.5189338235294118,0.11075884753560018
