number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
31,0.6724009675504998,2026-02-08 09:01:08.104232,2026-02-08 09:04:16.920208,0 days 00:03:08.815976,16,0.7000000000000001,10,sector_text_indicators,128,128,1,0.1,0.005216635928681052,0.8,5,30,BiGRU,2,24,7.559039295424476e-06,,0.6724009675504998,,,,COMPLETE,0.6724009675504998,,,,
84,0.67237108703214,2026-02-08 12:01:22.810240,2026-02-08 12:06:05.647315,0 days 00:04:42.837075,16,0.8,15,sector_text,128,32,1,0.4,0.0007855785641660998,0.8,10,20,BiGRU,2,36,5.602948323787278e-06,,0.67237108703214,,,,COMPLETE,0.67237108703214,,,,
128,0.6722404803963528,2026-02-08 15:52:57.932230,2026-02-08 16:01:32.703152,0 days 00:08:34.770922,16,0.8,15,sector_text,256,64,1,0.4,0.0026595870417381266,0.8,7,30,BiGRU,2,36,1.9143097372757118e-07,,0.6722404803963528,,,,COMPLETE,0.6722404803963528,,,,
57,0.6721543642588571,2026-02-08 10:17:04.954017,2026-02-08 10:20:12.058776,0 days 00:03:07.104759,16,0.2,15,sector_text,256,128,1,0.4,0.004946355976770867,0.8,7,30,GRU,1,36,2.5008043835314135e-07,,0.6721543642588571,,,,COMPLETE,0.6721543642588571,,,,
119,0.672090060677654,2026-02-08 14:44:16.374890,2026-02-08 14:46:25.132420,0 days 00:02:08.757530,16,0.7000000000000001,15,sector,128,128,1,0.30000000000000004,0.0032323638958476975,0.4,5,20,GRU,1,36,1.8900048375768248e-06,,0.672090060677654,,,,COMPLETE,0.672090060677654,,,,
85,0.671931693054491,2026-02-08 12:06:05.648073,2026-02-08 12:07:27.142327,0 days 00:01:21.494254,32,0.7000000000000001,15,sector_indicators,128,128,1,0.4,0.0037074182553541056,0.8,10,30,GRU,1,36,2.610945496773233e-07,,0.671931693054491,,,,COMPLETE,0.671931693054491,,,,
41,0.6718616304914962,2026-02-08 09:29:22.320844,2026-02-08 09:32:18.144442,0 days 00:02:55.823598,16,0.7000000000000001,15,sector_text,256,128,1,0.4,0.003065969672699118,0.4,7,20,GRU,1,36,2.1014191939232772e-07,,0.6718616304914962,,,,COMPLETE,0.6718616304914962,,,,
126,0.6718614734117503,2026-02-08 15:40:02.056102,2026-02-08 15:49:07.206274,0 days 00:09:05.150172,16,0.8,15,sector_text,256,128,1,0.4,0.0022483376082757978,0.8,7,30,BiGRU,2,36,1.5695455477626042e-07,,0.6718614734117503,,,,COMPLETE,0.6718614734117503,,,,
35,0.6718301186246297,2026-02-08 09:14:29.378046,2026-02-08 09:15:13.872360,0 days 00:00:44.494314,64,0.6000000000000001,10,sector_text_indicators,256,128,1,0.0,0.008028152446409033,0.8,5,50,GRU,1,18,6.590736902812605e-07,,0.6718301186246297,,,,COMPLETE,0.6718301186246297,,,,
23,0.6716472591366146,2026-02-08 08:42:20.430823,2026-02-08 08:44:36.153256,0 days 00:02:15.722433,32,0.5,10,sector_text_indicators,128,32,1,0.2,0.0030318591770253003,0.8,10,30,BiGRU,2,30,3.66973538986858e-07,,0.6716472591366146,,,,COMPLETE,0.6716472591366146,,,,
