company,sector,model_type,problem_type,sequence_length,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
CAT,Industrial Goods,LSTM,classification,12,1,0.6989932656288147,0.6949344125448489,208,51,51
CAT,Industrial Goods,LSTM,classification,12,2,0.6702021956443787,0.6977066421041301,208,51,51
CAT,Industrial Goods,LSTM,classification,12,3,0.6602014394906851,0.7014377011972315,208,51,51
CAT,Industrial Goods,LSTM,classification,12,4,0.658772505246676,0.7066591089847041,208,51,51
CAT,Industrial Goods,LSTM,classification,12,5,0.645393784229572,0.7171521549131356,208,51,51
CAT,Industrial Goods,LSTM,classification,12,6,0.6506856679916382,0.7356346939124313,208,51,51
CAT,Industrial Goods,LSTM,classification,12,7,0.6412645394985492,0.7535465090882545,208,51,51
CAT,Industrial Goods,LSTM,classification,12,8,0.6232290267944336,0.7796781448756948,208,51,51
CAT,Industrial Goods,LSTM,classification,12,9,0.6181317155177777,0.8315405658647126,208,51,51
CAT,Industrial Goods,LSTM,classification,12,10,0.607801629946782,0.8911178813261145,208,51,51
CAT,Industrial Goods,LSTM,classification,12,11,0.612214629466717,0.9523530123280544,208,51,51
CAT,Industrial Goods,LSTM,classification,12,12,0.5941982911183283,1.0102203102672802,208,51,51
CAT,Industrial Goods,LSTM,classification,12,13,0.6031246827198908,1.0838379836549945,208,51,51
CAT,Industrial Goods,LSTM,classification,12,14,0.6085333136411814,1.1205014083899705,208,51,51
CAT,Industrial Goods,LSTM,classification,12,15,0.5870538858266977,1.0668242749045878,208,51,51
CAT,Industrial Goods,LSTM,classification,12,16,0.5784535064147069,1.0197462942086013,208,51,51
CELG,Healthcare,LSTM,classification,12,1,0.6992339576637395,0.6894015558695389,239,59,59
CELG,Healthcare,LSTM,classification,12,2,0.6644877152961667,0.6888593354467618,239,59,59
CELG,Healthcare,LSTM,classification,12,3,0.6730732972651845,0.6870617826106185,239,59,59
CELG,Healthcare,LSTM,classification,12,4,0.6664699498080808,0.684863829006583,239,59,59
CELG,Healthcare,LSTM,classification,12,5,0.6629769512798995,0.6874823065127357,239,59,59
CELG,Healthcare,LSTM,classification,12,6,0.6498953383338002,0.6960027985653635,239,59,59
CELG,Healthcare,LSTM,classification,12,7,0.6458537137159244,0.7046971735307725,239,59,59
CELG,Healthcare,LSTM,classification,12,8,0.6505882794886952,0.7438842856277854,239,59,59
CELG,Healthcare,LSTM,classification,12,9,0.6400762444759512,0.822393294108116,239,59,59
CELG,Healthcare,LSTM,classification,12,10,0.639937763682968,0.8826856542441804,239,59,59
CELG,Healthcare,LSTM,classification,12,11,0.6348365011574334,0.8784167271549419,239,59,59
CELG,Healthcare,LSTM,classification,12,12,0.635826732324257,0.8318012730549957,239,59,59
CELG,Healthcare,LSTM,classification,12,13,0.6206900983674756,0.8631099805993548,239,59,59
CELG,Healthcare,LSTM,classification,12,14,0.623329088528286,0.9081978444325722,239,59,59
CELG,Healthcare,LSTM,classification,12,15,0.6069784845268377,0.9285703897476196,239,59,59
CELG,Healthcare,LSTM,classification,12,16,0.6111228825158155,0.9337106943130493,239,59,59
CELG,Healthcare,LSTM,classification,12,17,0.6009364941130123,0.9433395721144595,239,59,59
CELG,Healthcare,LSTM,classification,12,18,0.5931645434770624,0.9495519136978408,239,59,59
CELG,Healthcare,LSTM,classification,12,19,0.6027162117439334,0.9556083254894968,239,59,59
CMCSA,Services,LSTM,classification,12,1,0.6833364071145569,0.6799923777580261,177,44,44
CMCSA,Services,LSTM,classification,12,2,0.6330078018587187,0.6831748431379144,177,44,44
CMCSA,Services,LSTM,classification,12,3,0.6111720281805696,0.6874907450242476,177,44,44
CMCSA,Services,LSTM,classification,12,4,0.6248667922060368,0.695131859996102,177,44,44
CMCSA,Services,LSTM,classification,12,5,0.6170654276670036,0.7081536650657654,177,44,44
CMCSA,Services,LSTM,classification,12,6,0.609999284569153,0.7338173877109181,177,44,44
CMCSA,Services,LSTM,classification,12,7,0.6058219499507193,0.7754270000891252,177,44,44
CMCSA,Services,LSTM,classification,12,8,0.5947166607204804,0.8507785526188937,177,44,44
