number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,state
12,-0.011700594984527832,2026-03-02 23:23:50.097382,2026-03-02 23:30:33.926841,0 days 00:06:43.829459,64,0.30000000000000004,0.0033311733627218133,15,sector_emotion,64,128,1,0.99696786286287,0.30000000000000004,4.446404598897149e-06,0.8,10,30,BiGRU,2,5,1.70199646285441e-06,COMPLETE
1,-0.011701949285757681,2026-03-02 21:59:55.419605,2026-03-02 22:05:41.456541,0 days 00:05:46.036936,64,0.2,0.0007404465173409036,10,sector_finbert,64,128,1,1.565413658703297,0.0,2.67308831078167e-05,0.8,10,20,LSTM,2,5,1.3296521457299496e-06,COMPLETE
45,-0.011704823370193105,2026-03-03 03:33:49.911748,2026-03-03 03:45:35.247534,0 days 00:11:45.335786,16,0.7000000000000001,0.008675421539764075,20,sector_sentiment,256,32,1,0.1996963425451025,0.4,6.074547086478465e-06,0.4,10,20,BiLSTM,1,20,3.4810741023375916e-07,COMPLETE
20,-0.011705170930640576,2026-03-03 00:26:55.717205,2026-03-03 00:32:51.801749,0 days 00:05:56.084544,64,0.0,0.0003480421463923811,15,sector_finbert,64,128,1,1.963316206611521,0.4,2.5180433837778403e-06,0.4,10,20,LSTM,1,5,4.45173562864131e-07,COMPLETE
35,-0.011709224194821668,2026-03-03 02:26:24.478911,2026-03-03 02:32:40.807978,0 days 00:06:16.329067,64,0.1,0.00498479917299472,15,sector_sentiment,64,64,1,0.5794841809663727,0.4,0.0002874656902550436,0.8,7,50,BiLSTM,1,5,1.716406376097449e-06,COMPLETE
52,-0.011710294609998088,2026-03-03 04:26:53.545236,2026-03-03 04:33:19.303313,0 days 00:06:25.758077,64,0.6000000000000001,0.00563112502720479,10,sector_finbert,256,32,1,0.5843346817689912,0.30000000000000004,0.00015999700564079308,0.8,10,20,BiLSTM,2,15,2.27727414054998e-07,COMPLETE
54,-0.01171298678833468,2026-03-03 04:39:01.929562,2026-03-03 04:44:44.741826,0 days 00:05:42.812264,64,0.8,0.00784252630962738,10,sector_finbert,64,32,1,0.7107083017727428,0.4,0.0001059852388328661,0.8,10,20,LSTM,1,15,3.4303154321374485e-07,COMPLETE
11,-0.011717049183520317,2026-03-02 23:16:33.829301,2026-03-02 23:23:50.096528,0 days 00:07:16.267227,64,0.4,0.0007202977106522868,15,sector,256,128,1,1.5227081077992544,0.4,2.231983748492191e-05,0.8,7,30,BiLSTM,2,5,6.345704586319517e-05,COMPLETE
48,-0.011723685791002695,2026-03-03 04:01:17.090101,2026-03-03 04:07:28.657916,0 days 00:06:11.567815,64,0.7000000000000001,0.007619515454612404,20,sector_sentiment,128,32,1,0.7558506670609051,0.4,1.0133178149848229e-05,0.4,10,20,GRU,1,20,1.0743746102352636e-07,COMPLETE
32,-0.011733003844352373,2026-03-03 02:04:01.542894,2026-03-03 02:10:17.187409,0 days 00:06:15.644515,64,0.5,0.008314392914763062,15,sector_unified_emotion,64,32,1,0.8752761873338046,0.30000000000000004,2.5791670643452402e-06,0.8,10,50,GRU,2,15,1.5849418209125212e-07,COMPLETE
