number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc,params_horizon_steps
57,0.0621919949315341,2026-03-04 23:49:47.874752,2026-03-05 00:08:18.021817,0 days 00:18:30.147065,32,2,0.1,0.009579903656219,10,sector_emotion,64,64,0.2707033602013857,0.1,0.0293489456658664,0.0002420485914448,0.8,7,50,BiGRU,6,1,corn,15,2.1620156488071154,0.2328180072872575,21,0.7075778765952877,0.2550924254107907,21,3.5413996451501514e-07,0.5183189655172413,0.130091991794532,0.0621919949315341,0.1979166666666666,COMPLETE,0.130091991794532,0.1979166666666666,0.5183189655172413,0.0621919949315341,1
96,0.06197371540573,2026-03-05 17:48:36.536603,2026-03-05 18:14:04.492242,0 days 00:25:27.955639,32,4,0.1,0.0094200749699102,15,sector_emotion,128,32,1.3565598183384902,0.0,0.0296551526138073,0.0097720908382428,0.8,5,20,BiGRU,6,1,corn,20,3.4162917861006643,0.3175126265832687,15,0.8735597690164586,0.1421735977657486,21,0.0007758144926928,0.5145474137931034,0.1313346676379754,0.06197371540573,0.1887571839080459,COMPLETE,0.1313346676379754,0.1887571839080459,0.5145474137931034,0.06197371540573,1
36,0.0618078564129243,2026-03-04 15:20:33.861773,2026-03-04 15:44:41.192448,0 days 00:24:07.330675,32,2,0.1,0.0053588850108655,15,sector_emotion,64,64,0.5149010221212055,0.1,0.0244146922627437,0.001488754046672,0.4,7,50,BiGRU,6,1,corn,20,2.5217213656155275,0.5929657610170647,15,0.8820302523253324,0.3253375152158297,41,5.677990909850844e-06,0.5159841954022989,0.1192530927595012,0.0618078564129243,0.1887571839080459,COMPLETE,0.1192530927595012,0.1887571839080459,0.5159841954022989,0.0618078564129243,1
11,0.0610115873734339,2026-03-04 01:59:31.081480,2026-03-04 02:34:29.041910,0 days 00:34:57.960430,16,2,0.1,0.007764750497223,10,sector_finbert,128,64,1.1036536993900603,0.3,0.0654121936178941,0.002229975553054,0.8,5,20,BiGRU,6,1,coral,15,3.3523208361639956,0.2509709391622157,21,0.7840628481260188,0.2034756793088261,41,3.304766090578772e-07,0.5127514367816092,0.11415733502975,0.0610115873734339,0.1636135057471264,COMPLETE,0.11415733502975,0.1636135057471264,0.5127514367816092,0.0610115873734339,1
21,0.0607488937973308,2026-03-04 09:00:23.938618,2026-03-04 09:17:12.116976,0 days 00:16:48.178358,32,2,0.0,0.007754808738076,10,sector_sentiment,64,64,0.4067143466381423,0.1,0.0287934204999755,0.0078214751217266,0.8,5,20,BiGRU,6,1,corn,20,1.8542703332190684,0.5215170325281604,21,0.7139440364271655,0.3643139312670679,21,9.529537075057956e-06,0.5163433908045977,0.1086942564728882,0.0607488937973308,0.1738505747126436,COMPLETE,0.1086942564728882,0.1738505747126436,0.5163433908045977,0.0607488937973308,1
63,0.0604155553248449,2026-03-05 02:49:13.695602,2026-03-05 03:01:57.923352,0 days 00:12:44.227750,64,2,0.6000000000000001,0.0024167613365288,15,sector_unified_emotion,128,32,0.5171737338673392,0.1,0.0158214754111326,0.0079359270689763,0.4,7,20,BiGRU,6,1,coral,15,3.0617755422474775,0.8461621157279802,9,0.8587183510640866,0.3612199738267737,31,1.6277340535675993e-05,0.5211925287356322,0.1098721398757108,0.0604155553248449,0.1663074712643678,COMPLETE,0.1098721398757108,0.1663074712643678,0.5211925287356322,0.0604155553248449,1
51,0.0599456926381914,2026-03-04 21:26:30.292500,2026-03-04 21:51:38.995183,0 days 00:25:08.702683,32,4,0.6000000000000001,0.0074360697110919,15,sector_emotion,128,128,0.5489312910668935,0.4,0.0251763995534476,0.0058262400062474,0.4,7,20,BiGRU,6,1,corn,15,3.4217712214361575,0.7187988096172794,15,0.8921913024361898,0.3418005074807048,21,0.0002147642130484,0.5158045977011494,0.1235639102643162,0.0599456926381914,0.1857040229885057,COMPLETE,0.1235639102643162,0.1857040229885057,0.5158045977011494,0.0599456926381914,1
84,0.0598225238391676,2026-03-05 13:00:28.485781,2026-03-05 13:29:41.120155,0 days 00:29:12.634374,16,2,0.3,0.0020225845640935,15,sector_unified_emotion,256,32,0.2370667984524509,0.3,0.00323954966447,0.0055655751113955,0.4,7,20,BiGRU,6,1,coral,5,2.4087006600696044,0.888082320041316,15,0.7865378548821856,0.3010751099887823,41,0.0008886446632275,0.5186781609195402,0.1181278697694366,0.0598225238391676,0.1792385057471264,COMPLETE,0.1181278697694366,0.1792385057471264,0.5186781609195402,0.0598225238391676,1
2,0.0587204781148037,2026-03-03 18:08:35.819830,2026-03-03 18:27:59.110922,0 days 00:19:23.291092,32,2,0.1,0.0090826588596665,10,sector_emotion,256,64,0.6294282820495617,0.1,0.0632305830593579,0.0001188946976953,0.8,7,20,GRU,6,1,coral,20,1.3622371802280575,0.4395618906669724,15,0.8284858845986153,0.3016406642217636,31,6.487477066058669e-05,0.5235272988505747,0.1159715997992625,0.0587204781148037,0.170617816091954,COMPLETE,0.1159715997992625,0.170617816091954,0.5235272988505747,0.0587204781148037,1
33,0.0585268895911948,2026-03-04 14:20:57.894830,2026-03-04 14:46:34.608539,0 days 00:25:36.713709,32,4,0.1,0.0085680026433939,15,sector_emotion,64,32,0.3262442986572936,0.1,0.0146940937819223,0.0090170283925783,0.4,7,50,BiGRU,6,2,corn,20,3.424502968122961,0.552237790456622,15,0.7232495984254639,0.1542186068455199,21,5.0880031815281394e-05,0.5184985632183908,0.1142183683813514,0.0585268895911948,0.1806752873563218,COMPLETE,0.1142183683813514,0.1806752873563218,0.5184985632183908,0.0585268895911948,1
87,0.0582241361158561,2026-03-05 14:00:16.927791,2026-03-05 14:22:13.421332,0 days 00:21:56.493541,32,2,0.1,0.0054365266291939,15,sector_emotion,256,32,0.7548769136274873,0.0,0.0262955853498745,0.0059833621363852,0.8,10,50,BiGRU,6,2,corn,15,2.6651623851131494,0.8935045111854294,15,0.8169949000575982,0.2870386050398057,31,1.099724126673724e-05,0.5172413793103449,0.1231232088632518,0.0582241361158561,0.1876795977011494,COMPLETE,0.1231232088632518,0.1876795977011494,0.5172413793103449,0.0582241361158561,1
15,0.0569218934351962,2026-03-04 05:22:44.922229,2026-03-04 06:54:50.667628,0 days 01:32:05.745399,32,6,0.0,0.0052045917644764,15,sector_emotion,128,64,0.5787157650298065,0.1,0.0591601918480576,0.008567824094004,0.4,5,30,BiGRU,6,1,coral,15,2.383198821662043,0.3657318538581705,21,0.8664564539028545,0.2315139873339523,41,1.250159854309385e-07,0.515625,0.1150253939261706,0.0569218934351962,0.1725933908045977,COMPLETE,0.1150253939261706,0.1725933908045977,0.515625,0.0569218934351962,1
