number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc
69,0.07240346442495017,2026-03-05 05:50:20.111293,2026-03-05 06:23:13.919701,0 days 00:32:53.808408,32,6,0.2,0.00240440428652817,10,sector_emotion,128,32,0.35785047911923085,0.30000000000000004,0.05862222509002867,0.004300619880932744,0.8,5,50,BiLSTM,6,1,coral,5,2.228121137579209,0.3629296625153479,9,0.87900358195445,0.10853181235858345,31,0.0004004604311202419,0.5208333333333334,0.10642609200518739,0.07240346442495017,0.15858477011494254,COMPLETE,0.10642609200518739,0.15858477011494254,0.5208333333333334,0.07240346442495017
56,0.0722401519787665,2026-03-04 23:34:01.822206,2026-03-04 23:49:47.873942,0 days 00:15:46.051736,16,2,0.2,0.006381977856152197,10,sector_emotion,64,64,0.3094781391311139,0.2,0.02235296757939145,0.0006630363536451996,0.8,7,20,BiGRU,6,1,coral,20,2.710408060549105,0.29783859273737157,15,0.7641236783052896,0.3653952437748692,21,9.379636224600967e-06,0.5174209770114943,0.11067333591939939,0.0722401519787665,0.17007902298850575,COMPLETE,0.11067333591939939,0.17007902298850575,0.5174209770114943,0.0722401519787665
19,0.07088015702374756,2026-03-04 08:14:40.948842,2026-03-04 08:31:03.908833,0 days 00:16:22.959991,64,2,0.1,0.00807231036584218,10,sector_emotion,256,128,0.7364481628063555,0.0,0.003918958806441976,0.002321778752526935,0.8,7,20,BiGRU,6,1,corn,10,1.9970534996448528,0.49954646483165954,21,0.699866692554125,0.32352094835334244,21,2.2170250126647767e-06,0.5244252873563219,0.11527008183749574,0.07088015702374756,0.18354885057471265,COMPLETE,0.11527008183749574,0.18354885057471265,0.5244252873563219,0.07088015702374756
98,0.07076969873169572,2026-03-05 18:27:15.147010,2026-03-05 18:41:14.740660,0 days 00:13:59.593650,64,2,0.5,0.0013949263327100302,15,sector_all_nlp,128,32,0.5681069399268842,0.30000000000000004,0.010903548104241274,0.005125183842674306,0.4,7,20,BiGRU,6,2,corn,15,2.7877953229223245,1.1191883926805481,15,0.822816564509005,0.32161104874275076,21,3.942076996278928e-05,0.5208333333333334,0.12368674764685286,0.07076969873169572,0.19306752873563218,COMPLETE,0.12368674764685286,0.19306752873563218,0.5208333333333334,0.07076969873169572
80,0.07059042701015296,2026-03-05 10:57:53.476641,2026-03-05 11:12:37.038171,0 days 00:14:43.561530,64,2,0.30000000000000004,8.088405905876204e-05,15,sector_unified_emotion,128,128,1.013334309806273,0.1,4.192014199613618e-05,0.0023828661730779487,0.4,10,30,BiLSTM,6,1,coral,15,2.473206809704377,0.7960805247047027,15,0.7915809180232214,0.3132530520459008,21,0.00016301556491364044,0.5238864942528736,0.11018738749552903,0.07059042701015296,0.1632543103448276,COMPLETE,0.11018738749552903,0.1632543103448276,0.5238864942528736,0.07059042701015296
74,0.07012299378819652,2026-03-05 09:14:06.457049,2026-03-05 09:41:03.680390,0 days 00:26:57.223341,32,4,0.7000000000000001,0.006069721770957607,20,sector_sentiment,128,32,0.6800168051354091,0.4,0.012097899999655366,0.0002728514602493552,0.4,7,20,BiGRU,6,1,corn,20,2.8736220828144976,1.076827197144327,15,0.8461298254220708,0.27614838821165066,21,7.202680683498994e-05,0.5199353448275862,0.12154592501774783,0.07012299378819652,0.1980962643678161,COMPLETE,0.12154592501774783,0.1980962643678161,0.5199353448275862,0.07012299378819652
43,0.07010728790490375,2026-03-04 18:00:54.070435,2026-03-04 18:36:55.803777,0 days 00:36:01.733342,32,6,0.0,0.00404864203584146,10,sector_emotion,128,32,0.8025799796329924,0.4,0.04642390533404493,0.000641013986498375,0.8,7,50,BiGRU,6,2,coral,5,3.288307692878467,0.2672517474831495,15,0.8646431865639717,0.22078737353006228,21,0.00020890433154186614,0.5235272988505747,0.11569683039773081,0.07010728790490375,0.17223419540229884,COMPLETE,0.11569683039773081,0.17223419540229884,0.5235272988505747,0.07010728790490375
83,0.07003841369184184,2026-03-05 12:35:24.714394,2026-03-05 13:00:28.484872,0 days 00:25:03.770478,32,4,0.6000000000000001,0.008361976479555881,10,sector_emotion,128,32,0.20874512884215907,0.30000000000000004,0.012485641358815712,0.0017002286862390717,0.4,10,20,LSTM,6,1,corn,15,3.1434962382587277,1.1370822380179029,15,0.8325044344823656,0.19203450626659507,21,0.00032015488394495815,0.5177801724137931,0.11264566436363146,0.07003841369184184,0.1867816091954023,COMPLETE,0.11264566436363146,0.1867816091954023,0.5177801724137931,0.07003841369184184
8,0.06974342818011244,2026-03-03 22:21:38.295192,2026-03-03 23:18:09.542728,0 days 00:56:31.247536,16,6,0.5,0.003267926507092078,20,sector_sentiment,64,64,1.4993847158615887,0.2,0.004034060870123007,0.0010762465658526836,0.8,10,50,LSTM,6,2,coral,5,2.2948611709702234,0.4713757875698379,21,0.689032504327464,0.32955680349373373,21,0.00016558175611079015,0.5256824712643678,0.12004915769198131,0.06974342818011244,0.17959770114942528,COMPLETE,0.12004915769198131,0.17959770114942528,0.5256824712643678,0.06974342818011244
89,0.06960070732308972,2026-03-05 14:37:21.531452,2026-03-05 15:10:25.770352,0 days 00:33:04.238900,64,6,0.1,0.0055559705860676115,15,sector_unified_emotion,128,32,0.692716231391969,0.4,0.012056635006872533,0.00349220279741453,0.8,5,50,BiGRU,6,2,coral,10,2.191782645706105,0.5101705504849707,9,0.7835100671913988,0.13137212962003086,31,0.0009812923445934806,0.5201149425287356,0.12246366825717254,0.06960070732308972,0.1752873563218391,COMPLETE,0.12246366825717254,0.1752873563218391,0.5201149425287356,0.06960070732308972
