company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained
KO,Consumer Goods,BiGRU,regression,1,0.00010116011928043533,0.008267690626749521,-0.10514356071502617,0.02282177322938192,0.3181818181818182,0.5833333333333334,0.21875,0.47368421052631576,344,230,57,57,19
LMT,Industrial Goods,BiGRU,regression,1,0.00013047062336143784,0.009441865491753168,-0.0378763816716976,0.0,0.5882352941176471,0.4166666666666667,1.0,0.4166666666666667,193,116,29,48,16
MA,Financial,BiGRU,regression,1,0.0002626875349299329,0.013497481931890366,-0.1042327165879422,0.0,0.0,0.0,0.0,0.4090909090909091,264,176,44,44,16
MCD,Services,BiGRU,regression,1,0.00023269691606374717,0.009860466408149133,-0.4200736126443725,0.0,0.0,0.0,0.0,0.4482758620689655,351,235,58,58,18
MDT,Healthcare,BiGRU,regression,1,0.00022370735202093084,0.011841616803365882,0.04529785889993587,0.1829173348634131,0.7096774193548387,0.5641025641025641,0.9565217391304348,0.5813953488372093,173,104,26,43,22
MMM,Industrial Goods,BiGRU,regression,1,0.0002485877517799987,0.010443198833956027,0.0065111650538999255,0.0,0.6764705882352942,0.5111111111111111,1.0,0.5111111111111111,225,144,36,45,16
MO,Consumer Goods,BiGRU,regression,1,0.00013558449648867809,0.008151388469543658,-0.01901646304828275,0.0,0.6956521739130435,0.5333333333333333,1.0,0.5333333333333333,225,144,36,45,17
MRK,Healthcare,BiGRU,regression,1,0.0001949767609445191,0.010842577850797579,-0.03496878208991938,0.0,0.6923076923076923,0.5294117647058824,1.0,0.5294117647058824,311,208,52,51,19
MSFT,Technology,BiGRU,regression,1,0.0003145033679506628,0.01187170798266836,-0.2172270513052601,0.21605025953806362,0.28,0.875,0.16666666666666666,0.5135135135135135,447,299,74,74,18
NVS,Healthcare,BiGRU,regression,1,0.00015922221394881934,0.010097578607721234,0.02063572956530091,0.0,0.6551724137931034,0.48717948717948717,1.0,0.48717948717948717,158,96,23,39,18
