company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained
KO,Consumer Goods,LSTM,regression,1,9.313831073960881e-05,0.0077593824519173885,-0.01750774022328616,0.12159145841143895,0.5901639344262295,0.6206896551724138,0.5625,0.5614035087719298,344,230,57,57,21
LMT,Industrial Goods,LSTM,regression,1,0.00013351150420901132,0.009575543278697382,-0.06206618263885644,-0.21821789023599236,0.4,0.3333333333333333,0.5,0.375,193,116,29,48,21
MA,Financial,LSTM,regression,1,0.00024310143241664268,0.012882524675098721,-0.021900621190309,0.0,0.7428571428571429,0.5909090909090909,1.0,0.5909090909090909,264,176,44,44,17
MCD,Services,LSTM,regression,1,0.00018523403216807468,0.007976739263469404,-0.13042306574248053,0.0,0.0,0.0,0.0,0.4482758620689655,351,235,58,58,17
MDT,Healthcare,LSTM,regression,1,0.00023363591928291026,0.011952237512325966,0.002926321543484267,0.09679939375322656,0.6415094339622641,0.5666666666666667,0.7391304347826086,0.5581395348837209,173,104,26,43,25
MMM,Industrial Goods,LSTM,regression,1,0.0002505222979292245,0.010422988199660565,-0.0012203099933691952,0.0,0.6764705882352942,0.5111111111111111,1.0,0.5111111111111111,225,144,36,45,16
MO,Consumer Goods,LSTM,regression,1,0.0001345765504218505,0.008250235757112003,-0.011441012590730937,0.21302889573695022,0.7096774193548387,0.5789473684210527,0.9166666666666666,0.6,225,144,36,45,17
MRK,Healthcare,LSTM,regression,1,0.00019229931132502785,0.010553746043956003,-0.020756438227152785,0.08547960742202877,0.684931506849315,0.5434782608695652,0.9259259259259259,0.5490196078431373,311,208,52,51,21
MSFT,Technology,LSTM,regression,1,0.00028632038553031027,0.011094174570414691,-0.10815003628933417,0.10216188884775938,0.046511627906976744,1.0,0.023809523809523808,0.44594594594594594,447,299,74,74,19
NVS,Healthcare,LSTM,regression,1,0.00017328722971858107,0.010758460659327299,-0.06587716060486715,0.21990346009200396,0.6666666666666666,0.5517241379310345,0.8421052631578947,0.5897435897435898,158,96,23,39,28
ORCL,Technology,LSTM,regression,1,0.0001844024339770702,0.010549891217087687,-0.00879889192693395,0.0,0.6363636363636364,0.4666666666666667,1.0,0.4666666666666667,273,183,45,45,18
PCLN,Services,LSTM,regression,1,0.00041515244852820184,0.014871360817085452,-0.18983587103911637,0.0,0.0,0.0,0.0,0.4264705882352941,408,272,68,68,19
PEP,Consumer Goods,LSTM,regression,1,0.0001245110666320448,0.008046815714947224,-0.200838058763523,0.37796447300922725,0.631578947368421,0.75,0.5454545454545454,0.6818181818181818,222,143,35,44,23
PFE,Healthcare,LSTM,regression,1,0.00021664545690362259,0.011216839278343941,-0.007319530481745717,0.04034297628948738,0.625,0.4716981132075472,0.9259259259259259,0.4827586206896552,348,232,58,58,16
PG,Consumer Goods,LSTM,regression,1,8.828118530743829e-05,0.007391603649315699,-0.10988886197358139,0.03253000243161777,0.2222222222222222,0.6666666666666666,0.13333333333333333,0.4166666666666667,288,192,48,48,16
SLB,Basic Matierials,LSTM,regression,1,0.0003402903598600106,0.015306215461119344,-0.037019785781405856,0.0,0.5185185185185185,0.35,1.0,0.35,204,132,32,40,16
SO,Utilities,LSTM,regression,1,0.00024094658901883275,0.011345940237086257,-0.01260703518440387,0.0,0.0,0.0,0.0,0.46153846153846156,159,96,24,39,16
T,Technology,LSTM,regression,1,7.992028607607306e-05,0.007063412982123792,0.003330470185106904,-0.08827348295047495,0.5591397849462365,0.4727272727272727,0.6842105263157895,0.4605263157894737,460,308,76,76,18
UNH,Healthcare,LSTM,regression,1,0.0003500622787709355,0.014881096639221677,0.027251075381158008,0.2668802563418119,0.6984126984126984,0.5641025641025641,0.9166666666666666,0.6041666666666666,241,155,38,48,22
UPS,Services,LSTM,regression,1,9.684221116432212e-05,0.007045519456921233,-0.0019044300697963479,0.011562432251572007,0.6440677966101694,0.5588235294117647,0.76,0.5333333333333333,183,111,27,45,28
UTX,Industrial Goods,LSTM,regression,1,0.00019169560773757205,0.010890622505440123,-0.06007125547469694,0.0,0.5357142857142857,0.36585365853658536,1.0,0.36585365853658536,205,132,32,41,17
V,Financial,LSTM,regression,1,0.00021727213516444438,0.011451287987173951,0.010553366364977057,0.2552944342106929,0.6666666666666666,0.65625,0.6774193548387096,0.631578947368421,345,231,57,57,18
VZ,Technology,LSTM,regression,1,9.161247774699381e-05,0.007667871946381074,-0.003139084154921701,0.1669343089124087,0.6578947368421053,0.5208333333333334,0.8928571428571429,0.5517241379310345,349,233,58,58,18
WFC,Financial,LSTM,regression,1,0.00016005056410122028,0.010040557864721586,0.004456742391922286,0.0,0.6904761904761905,0.5272727272727272,1.0,0.5272727272727272,332,222,55,55,16
WMT,Services,LSTM,regression,1,0.00012417716659433287,0.008885054328090211,-0.08928089545810969,0.0,0.0,0.0,0.0,0.49122807017543857,346,232,57,57,16
XOM,Basic Matierials,LSTM,regression,1,0.00023656719880180377,0.01220216436027813,-0.01266770544408713,0.0,0.0,0.0,0.0,0.5161290322580645,376,252,62,62,16
