company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained
HD,Services,GRU,regression,1,0.00016525764572755498,0.009636269467798773,-0.11422755146526331,-0.25887989779818116,0.5245901639344263,0.5333333333333333,0.5161290322580645,0.40816326530612246,295,197,49,49,21
INTC,Technology,GRU,regression,1,0.00019922264545346312,0.010716068347704446,-0.1248421926326142,0.08657113704484735,0.23809523809523808,0.625,0.14705882352941177,0.5223880597014925,404,270,67,67,16
JNJ,Healthcare,GRU,regression,1,8.343946168338844e-05,0.006923913816972169,0.004195662897828689,0.11901824151112567,0.647887323943662,0.6216216216216216,0.6764705882352942,0.576271186440678,356,238,59,59,18
JPM,Financial,GRU,regression,1,0.00022279840301137315,0.01121523409215292,-0.019343705421422497,0.0,0.0,0.0,0.0,0.5223880597014925,403,269,67,67,16
KO,Consumer Goods,GRU,regression,1,9.02831740351083e-05,0.007819464123151472,0.013683760601190587,0.18090680674665818,0.5714285714285714,0.6666666666666666,0.5,0.5789473684210527,344,230,57,57,18
LMT,Industrial Goods,GRU,regression,1,0.00012658644692539365,0.009315535297236702,-0.006978276938586214,-0.04364357804719848,0.48,0.4,0.6,0.4583333333333333,193,116,29,48,18
MA,Financial,GRU,regression,1,0.00024524350867976397,0.013003034502985435,-0.030905048034528537,-0.052414241836095915,0.5925925925925926,0.5714285714285714,0.6153846153846154,0.5,264,176,44,44,16
MCD,Services,GRU,regression,1,0.0007459003125235079,0.023436581718031344,-3.5519870628094106,0.05397918963594131,0.11428571428571428,0.6666666666666666,0.0625,0.46551724137931033,351,235,58,58,22
MDT,Healthcare,GRU,regression,1,0.0002296385951875735,0.011935187623255189,0.019985456337283325,0.14746177229048218,0.6666666666666666,0.5806451612903226,0.782608695652174,0.5813953488372093,173,104,26,43,24
MMM,Industrial Goods,GRU,regression,1,0.0002496396348494986,0.010434641445875551,0.002307281001954098,-0.01340381419589974,0.34285714285714286,0.5,0.2608695652173913,0.4888888888888889,225,144,36,45,16
MO,Consumer Goods,GRU,regression,1,0.00013447225458299808,0.008119437521149525,-0.010657153229443939,0.25,0.711864406779661,0.6,0.875,0.6222222222222222,225,144,36,45,17
MRK,Healthcare,GRU,regression,1,0.0002358615084580494,0.01225154892383305,-0.2519917602907571,0.0,0.6923076923076923,0.5294117647058824,1.0,0.5294117647058824,311,208,52,51,19
MSFT,Technology,GRU,regression,1,0.0002954914760957125,0.011510725782550755,-0.14364504417722834,0.0,0.0,0.0,0.0,0.43243243243243246,447,299,74,74,17
NVS,Healthcare,GRU,regression,1,0.00016120423764689118,0.010125457108708078,0.008444445793362343,0.0,0.6551724137931034,0.48717948717948717,1.0,0.48717948717948717,158,96,23,39,17
ORCL,Technology,GRU,regression,1,0.00018292812809034273,0.01091227608579073,-0.0007334986844729219,0.16116459280507606,0.6296296296296297,0.5151515151515151,0.8095238095238095,0.5555555555555556,273,183,45,45,31
PCLN,Services,GRU,regression,1,0.00044993039548471407,0.01619429905610011,-0.28951021706948277,0.0,0.0,0.0,0.0,0.4264705882352941,408,272,68,68,17
PEP,Consumer Goods,GRU,regression,1,0.0001301740931656381,0.008225290454135075,-0.2554547123130664,0.3486948369707025,0.5714285714285714,0.7692307692307693,0.45454545454545453,0.6590909090909091,222,143,35,44,21
PFE,Healthcare,GRU,regression,1,0.00021734403469071039,0.011045170928487275,-0.010567653283634515,0.02527141685011451,0.46153846153846156,0.48,0.4444444444444444,0.5172413793103449,348,232,58,58,17
PG,Consumer Goods,GRU,regression,1,8.152885495840986e-05,0.007082157585889352,-0.02499720334151978,0.0,0.7692307692307693,0.625,1.0,0.625,288,192,48,48,16
SLB,Basic Matierials,GRU,regression,1,0.0005916880462614462,0.021673084287271084,-0.8031430900243091,0.0,0.5185185185185185,0.35,1.0,0.35,204,132,32,40,22
SO,Utilities,GRU,regression,1,0.00024411979396356855,0.011116040395676315,-0.02594281081918659,0.0,0.7,0.5384615384615384,1.0,0.5384615384615384,159,96,24,39,16
T,Technology,GRU,regression,1,7.881092195009325e-05,0.006991797881985667,0.017165123138943472,0.0,0.6666666666666666,0.5,1.0,0.5,460,308,76,76,16
UNH,Healthcare,GRU,regression,1,0.00036218982509896063,0.015368790185972278,-0.006448807080531305,0.0,0.6666666666666666,0.5,1.0,0.5,241,155,38,48,16
UPS,Services,GRU,regression,1,0.00013379830110576377,0.008057271201735163,-0.3842425632580362,0.034921514788478915,0.696969696969697,0.5609756097560976,0.92,0.5555555555555556,183,111,27,45,35
UTX,Industrial Goods,GRU,regression,1,0.00019975613582755124,0.011208201447659782,-0.10464574642407154,0.0,0.5357142857142857,0.36585365853658536,1.0,0.36585365853658536,205,132,32,41,16
V,Financial,GRU,regression,1,0.00021881330877500485,0.011473310703483803,0.0035349374271748113,0.2139047860513939,0.7027027027027027,0.6046511627906976,0.8387096774193549,0.6140350877192983,345,231,57,57,16
VZ,Technology,GRU,regression,1,9.361068129258797e-05,0.0076816770595731065,-0.02501903024936314,-0.16728382013040066,0.26666666666666666,0.35294117647058826,0.21428571428571427,0.43103448275862066,349,233,58,58,17
WFC,Financial,GRU,regression,1,0.00016044588689881917,0.009820656178690443,0.001997763581454426,0.23576179620358723,0.631578947368421,0.6428571428571429,0.6206896551724138,0.6181818181818182,332,222,55,55,17
WMT,Services,GRU,regression,1,0.00011862409016381302,0.008837312981860634,-0.04056936311541537,0.0,0.0,0.0,0.0,0.49122807017543857,346,232,57,57,16
XOM,Basic Matierials,GRU,regression,1,0.00023172191156396813,0.012114734482884335,0.008073402935301344,0.1272823676500175,0.5423728813559322,0.5517241379310345,0.5333333333333333,0.5645161290322581,376,252,62,62,16
